HOOD_158,NEIGHBOURHOOD_158,HOOD_LONG_WGS84,HOOD_LAT_WGS84
1,West Humber-Clairville,-79.59686886,43.72084053
10,Princess-Rosethorn,-79.54710872,43.66879011
100,Yonge-Eglinton,-79.40118196,43.7052197
101,Forest Hill South,-79.41581235,43.69408893
102,Forest Hill North,-79.42831864,43.70341119
103,Lawrence Park South,-79.40714147,43.71661617
105,Lawrence Park North,-79.40486554,43.72932137
106,Humewood-Cedarvale,-79.42612846,43.69051122
107,Oakwood Village,-79.4420571,43.69135001
108,Briar Hill-Belgravia,-79.44855086,43.69898591
109,Caledonia-Fairbank,-79.45475427,43.68994782
11,Eringate-Centennial-West Deane,-79.57837532,43.65638497
110,Keelesdale-Eglinton West,-79.47111785,43.6854328
111,Rockcliffe-Smythe,-79.48934126,43.67562897
112,Beechborough-Greenbrook,-79.47634382,43.69298835
113,Weston,-79.51661142,43.70206545
114,Lambton Baby Point,-79.49672226,43.66023692
115,Mount Dennis,-79.49768559,43.6886581
116,Steeles,-79.32045912,43.81376969
118,Tam O'Shanter-Sullivan,-79.30252941,43.78048144
119,Wexford/Maryvale,-79.30102398,43.74778806
12,Markland Wood,-79.57334265,43.63423247
120,Clairlea-Birchmount,-79.281418,43.71454544
121,Oakridge,-79.28189449,43.69646564
122,Birchcliffe-Cliffside,-79.26264484,43.69665627
123,Cliffcrest,-79.23732923,43.72160093
124,Kennedy Park,-79.25811075,43.72864216
125,Ionview,-79.27312426,43.73312359
126,Dorset Park,-79.27992826,43.76031024
128,Agincourt South-Malvern West,-79.26751962,43.78703215
129,Agincourt North,-79.27027775,43.80748985
13,Etobicoke West Mall,-79.56770167,43.64530748
130,Milliken,-79.27988892,43.82030722
133,Centennial Scarborough,-79.15080901,43.78313135
134,Highland Creek,-79.17680309,43.79061914
135,Morningside,-79.20402982,43.78234338
136,West Hill,-79.18705125,43.76696173
138,Eglinton East,-79.24612072,43.73942084
139,Scarborough Village,-79.21963316,43.74196933
140,Guildwood,-79.19880149,43.74864884
141,Golfdale-Cedarbrae-Woburn,-79.22026236,43.76120565
142,Woburn North,-79.23641544,43.77323527
143,West Rouge,-79.15464971,43.79809413
144,Morningside Heights,-79.21285949,43.81895546
145,Malvern West,-79.22909775,43.80626806
146,Malvern East,-79.21580086,43.80379823
147,L'Amoreaux West,-79.32417938,43.79087081
148,East L'Amoreaux,-79.30559281,43.79912638
149,Parkwoods-O'Connor Hills,-79.32474915,43.74932534
15,Kingsway South,-79.51039775,43.65225144
150,Fenside-Parkwoods,-79.33085271,43.76108661
151,Yonge-Doris,-79.41272442,43.77146063
152,East Willowdale,-79.4015488,43.77327731
153,Avondale,-79.40593156,43.76006621
154,Oakdale-Beverley Heights,-79.50870186,43.72369953
155,Downsview,-79.47762724,43.73519452
156,Bendale-Glen Andrew,-79.2593371,43.7688423
157,Bendale South,-79.25384694,43.75038895
158,Islington,-79.54740754,43.64552951
159,Etobicoke City Centre,-79.53821611,43.6282542
16,Stonegate-Queensway,-79.50101358,43.63399665
160,Mimico-Queensway,-79.50569758,43.61221745
161,Humber Bay Shores,-79.483149,43.62147117
162,West Queen West,-79.41108777,43.64361827
163,Fort York-Liberty Village,-79.41109595,43.6360377
164,Wellington Place,-79.39521232,43.64631312
